"Osservatorio: Pensioni vigenti - Serie storica"
"Filtri:"
"Tipo gestione:Pensioni ai lavoratori dipendenti privati";"Tipo gestione:Pensioni ai lavoratori dipendenti pubblici";"Tipo gestione:Pensioni ai lavoratori autonomi e parasubordinati";"Tipo gestione:Prestazioni assistenziali"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";"Anno";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" ";"2018";" ";"2019";" ";"2020";" ";"2021";" ";"2022";" ";"2023";" ";"2024";" ";"2025";" ";"2026";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia  della sede INPS";"";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile ";"Numero Pensioni ";"Importo medio mensile "
