N.,COMUNE,PROVINCIA,POPOLAZIONE,S.R.R. di COMPETENZA,R.I. (ton),R.D. (ton),R.T. (ton),% R.D.,R.C. (ton),EXTRA D.M. 2016 (ton)
1,Agrigento,AGRIGENTO,55.227,AGRIGENTO PROVINCIA EST,"4.087,73","2.279,64","6.367,37","64,20%","6.367,37","0,00"
2,Sciacca,AGRIGENTO,38.541,AGRIGENTO PROVINCIA OVEST,"13.783,86","2.475,74","16.259,60","84,77%","16.262,64","3,04"
3,Licata,AGRIGENTO,34.087,AGRIGENTO PROVINCIA EST,"1.869,23","1.935,77","3.805,00","49,13%","3.821,19","16,19"
4,Canicattì,AGRIGENTO,34.266,AGRIGENTO PROVINCIA EST,"2.642,27","1.934,52","4.576,79","57,73%","4.576,79","0,00"
5,Favara,AGRIGENTO,31.309,AGRIGENTO PROVINCIA EST,"1.674,58","2.011,62","3.686,20","45,43%","3.686,20","0,00"
6,Palma di Montechiaro,AGRIGENTO,21.236,AGRIGENTO PROVINCIA EST,"219,90","1.978,44","2.198,34","10,00%","2.198,34","0,00"
7,Ribera,AGRIGENTO,17.730,AGRIGENTO PROVINCIA OVEST,"4.817,29","950,18","5.767,47","83,53%","5.788,51","21,04"
8,Porto Empedocle,AGRIGENTO,15.479,AGRIGENTO PROVINCIA EST,"175,12","0,00","175,12","100,00%","175,12","0,00"
9,Raffadali,AGRIGENTO,11.780,AGRIGENTO PROVINCIA EST,"950,09","445,44","1.395,53","68,08%","1.395,53","0,00"
10,Menfi,AGRIGENTO,11.753,AGRIGENTO PROVINCIA OVEST,"2.823,16","662,60","3.485,76","80,99%","3.524,12","38,36"
11,Ravanusa,AGRIGENTO,10.214,AGRIGENTO PROVINCIA EST,"490,97","352,82","843,79","58,19%","843,79","0,00"
12,Campobello di Licata,AGRIGENTO,8.949,AGRIGENTO PROVINCIA EST,"802,84","489,22","1.292,06","62,14%","1.292,06","0,00"
13,Aragona,AGRIGENTO,8.695,AGRIGENTO PROVINCIA EST,"941,18","376,32","1.317,50","71,44%","1.317,50","0,00"
14,Racalmuto,AGRIGENTO,7.464,AGRIGENTO PROVINCIA EST,"772,92","365,24","1.138,16","67,91%","1.138,16","0,00"
15,Casteltermini,AGRIGENTO,7.140,AGRIGENTO PROVINCIA EST,"373,14","246,14","619,28","60,25%","619,28","0,00"
16,San Giovanni Gemini,AGRIGENTO,7.428,AGRIGENTO PROVINCIA EST,"0,00","0,00","0,00","0,00%","0,00","0,00"
17,Naro,AGRIGENTO,6.872,AGRIGENTO PROVINCIA EST,"287,62","244,54","532,16","54,05%","532,16","0,00"
18,Lampedusa e Linosa,AGRIGENTO,6.488,AGRIGENTO PROVINCIA EST,"659,52","285,24","944,76","69,81%","972,16","27,40"
19,Santa Margherita di Belice,AGRIGENTO,5.959,AGRIGENTO PROVINCIA OVEST,"945,95","308,60","1.254,55","75,40%","1.254,55","0,00"
20,Cammarata,AGRIGENTO,5.828,AGRIGENTO PROVINCIA EST,"431,73","165,78","597,51","72,25%","597,51","0,00"
