n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
1;Agrigento;AGRIGENTO;55227;AGRIGENTO PROVINCIA EST;4087,73;2279,64;6367,37;64,2;6367,37;0,0;AG;084001-(2020-01-04)
2;Sciacca;AGRIGENTO;38541;AGRIGENTO PROVINCIA OVEST;13783,86;2475,74;16259,6;84,77;16262,64;3,04;AG;084041-(2016-06-06)
3;Licata;AGRIGENTO;34087;AGRIGENTO PROVINCIA EST;1869,23;1935,77;3805,0;49,13;3821,19;16,19;AG;084021-(2016-06-06)
4;Canicattì;AGRIGENTO;34266;AGRIGENTO PROVINCIA EST;2642,27;1934,52;4576,79;57,73;4576,79;0,0;AG;084011-(1861-03-17)
5;Favara;AGRIGENTO;31309;AGRIGENTO PROVINCIA EST;1674,58;2011,62;3686,2;45,43;3686,2;0,0;AG;084017-(2020-01-04)
6;Palma di Montechiaro;AGRIGENTO;21236;AGRIGENTO PROVINCIA EST;219,9;1978,44;2198,34;10,0;2198,34;0,0;AG;084027-(2016-06-06)
7;Ribera;AGRIGENTO;17730;AGRIGENTO PROVINCIA OVEST;4817,29;950,18;5767,47;83,53;5788,51;21,04;AG;084033-(2016-06-06)
8;Porto Empedocle;AGRIGENTO;15479;AGRIGENTO PROVINCIA EST;175,12;0,0;175,12;100,0;175,12;0,0;AG;084028-(2016-06-06)
9;Raffadali;AGRIGENTO;11780;AGRIGENTO PROVINCIA EST;950,09;445,44;1395,53;68,08;1395,53;0,0;AG;084030-(1893-01-01)
10;Menfi;AGRIGENTO;11753;AGRIGENTO PROVINCIA OVEST;2823,16;662,6;3485,76;80,99;3524,12;38,36;AG;084023-(2016-06-06)
11;Ravanusa;AGRIGENTO;10214;AGRIGENTO PROVINCIA EST;490,97;352,82;843,79;58,19;843,79;0,0;AG;084031-(2016-06-06)
12;Campobello di Licata;AGRIGENTO;8949;AGRIGENTO PROVINCIA EST;802,84;489,22;1292,06;62,14;1292,06;0,0;AG;084010-(2016-06-06)
13;Aragona;AGRIGENTO;8695;AGRIGENTO PROVINCIA EST;941,18;376,32;1317,5;71,44;1317,5;0,0;AG;084003-(1948-01-01)
14;Racalmuto;AGRIGENTO;7464;AGRIGENTO PROVINCIA EST;772,92;365,24;1138,16;67,91;1138,16;0,0;AG;084029-(2016-06-06)
